id,name,fileName,text
1,,,세나르의 집 앞에서 잔뜩 화가 난 것으로 보이는 붉은색을 띤 골렘이 담벽을 부수고 있다.
2,세나르,cenar,저 녀석이에요. 머리만 빼곤 온몸이 적철석으로 되어 있는 골렘이죠. 며칠 전부터 밭을 엉망으로 만들더니 이제는 집도 부수려 드네요.
3,해스먼,hesmen,어우. 보기보다 덩치가 좀 큰데요. 게다가 주변에 불타는 작은 골렘들도 데려왔군.
4,로즈리안,roserian,저런 커다란 골렘이 무슨 일로…?
5,세나르,cenar,얼마전에 저 골렘 머리 위에 있는 약초를 캤는데 말이죠.
6,세나르,cenar,원래는 골렘이 잘 때 몰래 캐야 하는데 실수로 깨우고 말아서요.
7,세나르,cenar,그게 골렘을 엄청 화나게 만들었나 봐요.
8,해즈먼,hesmen,용병도 아닌데 골렘초를 캤어요?
9,해즈먼,hesmen,보통 골렘초는 그냥 골렘을 때려잡고 얻어가서 꽤 가격이 있는데.
10,해즈먼,hesmen,그걸 골렘을 안 죽이고 캤어요?
11,세나르,cenar,네. 그거 잘 어떻게 하면 골렘을 깨우지 않고 약초만 캐낼 수 있어요.
12,세나르,cenar,아무튼 지금 저를 성가시게 만들고 있으니 해치워 주세요. 저는 잠깐만 짐 좀 챙길게요.
13,로즈리안,roserian, 골렘을 공격할 테니 해즈먼 네가 작은 불타는 골렘들부터 정리해.
9999,stage,2,
